species,longitude,latitude
Chrysaora colorata,-122.2917,36.98
Chrysaora colorata,-122.57,37.28
Chrysaora colorata,-122.5733,37.2867
Chrysaora colorata,-121.8467,36.77
Chrysaora colorata,-121.9033,36.7117
Chrysaora colorata,-121.9967,36.8483
Chrysaora colorata,-121.97,36.7417
Chrysaora colorata,-122.57,37.285
Chrysaora colorata,-122.3067,36.9967
Chrysaora colorata,-122.3867,36.99
Chrysaora colorata,-122.5767,37.2817
Chrysaora colorata,-122.6533,37.2767
Chrysaora colorata,-122.8417,37.605
Chrysaora colorata,-121.8763,36.768
Chrysaora colorata,-121.9733,36.7392
Chrysaora colorata,-120.7975,35.0027
Chrysaora colorata,-122.1117,36.7067
Chrysaora colorata,-121.9367,36.6517
Chrysaora colorata,-121.905,36.71
Chrysaora colorata,-122.2867,36.975
Chrysaora colorata,-121.915,36.7117
Chrysaora colorata,-121.9483,36.6533
Chrysaora colorata,-122.29,36.9817
Chrysaora colorata,-122.425,36.9833
Chrysaora colorata,-123.14,37.74
Chrysaora colorata,-123.3167,37.885
Chrysaora colorata,-121.95,36.6567
Chrysaora colorata,-123.0417,37.655
Chrysaora colorata,-121.9917,36.84
Chrysaora colorata,-121.87,36.7633
Chrysaora colorata,-121.9817,36.845
Chrysaora colorata,-121.895,36.7783
Chrysaora colorata,-121.9717,36.7367
Chrysaora colorata,-121.9133,36.72
Chrysaora colorata,-121.9483,36.6583
Chrysaora colorata,-121.9917,36.845
Chrysaora colorata,-121.8717,36.7667
Chrysaora colorata,-121.9267,36.6517
Chrysaora colorata,-122.1733,36.5833
Chrysaora colorata,-122.3017,36.995
Chrysaora colorata,-122.865,37.7883
Chrysaora colorata,-121.875,36.7733
Chrysaora colorata,-121.96,36.7283
Chrysaora colorata,-121.9117,36.71
Chrysaora colorata,-121.9467,36.6567
Chrysaora colorata,-123.2,37.6517
Chrysaora colorata,-122.8717,37.795
Chrysaora colorata,-122.3067,36.9983
Chrysaora colorata,-122.0483,36.5917
Chrysaora colorata,-122.3033,36.9867
Chrysaora colorata,-123.368,38.164
Chrysaora colorata,-121.9465,36.7195
Chrysaora colorata,-121.8478,36.7692
Chrysaora colorata,-123.1535,38.1628
Chrysaora colorata,-121.9003,36.7063
Chrysaora colorata,-121.9108,36.7102
Chrysaora colorata,-122.0347,36.5727
Chrysaora colorata,-123.3168,37.8852
Chrysaora colorata,-121.9833,36.8467
Chrysaora colorata,-122.8717,37.7933
Chrysaora colorata,-121.9067,36.7083
Chrysaora colorata,-121.8783,36.775
Chrysaora colorata,-121.9,36.705
Chrysaora colorata,-121.9483,36.6567
Chrysaora colorata,-122.5667,37.2783
Chrysaora colorata,-123.14,37.745
Chrysaora colorata,-123.3183,37.8833
Chrysaora colorata,-123.1667,38.1683
Chrysaora colorata,-121.8683,36.7683
Chrysaora colorata,-122.2917,36.9867
Chrysaora colorata,-123.0017,38.17
Chrysaora colorata,-121.9083,36.7083
Chrysaora colorata,-122.035,36.5783
Chrysaora colorata,-122.645,37.2767
Chrysaora colorata,-122.865,37.79
Chrysaora colorata,-122.285,36.98
Chrysaora colorata,-121.94,36.66
Chrysaora colorata,-121.9133,36.71
Chrysaora colorata,-123.0183,38.1783
Chrysaora colorata,-123.1717,38.17
Chrysaora colorata,-121.9717,36.8533
Chrysaora colorata,-121.88,36.7867
Chrysaora colorata,-121.9067,36.7067
Chrysaora colorata,-121.9417,36.6533
Chrysaora colorata,-122.285,36.98
Chrysaora colorata,-122.5683,37.2867
