State Code,County Code,Site Number,Latitude,Longitude,Datum,Elevation,Land Use,Location Setting,GMT Offset,Address,Zip Code,State Name,County Name,City Name
44,7,12,41.825556,-71.405278,NAD83,55,COMMERCIAL,URBAN AND CENTER CITY,-5,"ROCKEFELLER LIBRARY, PROSPECT STREET.",2906,Rhode Island,Providence,Providence
44,7,22,41.807469,-71.412968,NAD83,9,RESIDENTIAL,URBAN AND CENTER CITY,-5,"1 Hilton St, PROVIDENCE RI",2905,Rhode Island,Providence,Providence
44,7,26,41.874668,-71.379971,NAD83,15,RESIDENTIAL,URBAN AND CENTER CITY,-5,VERNON STREET TRAILER,2860,Rhode Island,Providence,Pawtucket
44,7,27,41.822499,-71.410659,NAD83,0,COMMERCIAL,URBAN AND CENTER CITY,-5,"111 DORRANCE STREET, PROVIDENCE, RI 02903",2903,Rhode Island,Providence,Providence
44,7,31,41.797364,-71.417931,NAD83,23,COMMERCIAL,URBAN AND CENTER CITY,-5,"Warren Way/ Poe St Providence, ri",2907,Rhode Island,Providence,Providence
44,7,32,41.806374,-71.405434,NAD83,23,COMMERCIAL,URBAN AND CENTER CITY,-5,Bay St Providence RI,2905,Rhode Island,Providence,Providence
44,7,33,41.797336,-71.417931,NAD83,23,COMMERCIAL,URBAN AND CENTER CITY,-5,Niagara St. Providence RI,2907,Rhode Island,Providence,Providence
44,7,122,41.807436,-71.414056,NAD83,2.9,RESIDENTIAL,URBAN AND CENTER CITY,-5,Lison Campus One Hilton St. Providence RI,2905,Rhode Island,Providence,Providence
44,7,1010,41.841039,-71.36097,NAD83,15,RESIDENTIAL,SUBURBAN,-5,"FRANCIS SCHOOL, 64 BOURNE AVE",2916,Rhode Island,Providence,East Providence
44,9,7,41.49511,-71.423705,NAD83,32,RESIDENTIAL,SUBURBAN,-5,"TARZWELL ROAD, NARRAGANSETT",2874,Rhode Island,Washington,Not in a City
44,9,8,41.377434,-71.524337,NAD83,15,RESIDENTIAL,RURAL,-5,"950 Succotash Rd South Kingston, ri 02879",2879,Rhode Island,Washington,South Kingstown (Town of)
44,1,1,41.673435,-71.27116,WGS84,27,RESIDENTIAL,SUBURBAN,-5,REYNOLDS ELEMENTARY SCHOOL,,Rhode Island,Bristol,Bristol (Town of)
44,3,1,41.616649,-71.684488,WGS84,123,RESIDENTIAL,SUBURBAN,-5,ALTON JONES CAMPUS,2817,Rhode Island,Kent,Not in a City
44,3,2,41.615237,-71.72,WGS84,67,,,-5,W. ALTON JONES CAMPUS URI PARKERFIELD WE,2817,Rhode Island,Kent,Not in a City
44,3,3,41.732479,-71.424757,WGS84,0,COMMERCIAL,SUBURBAN,-5, GREEN AIRPORT WARWICK RI,2886,Rhode Island,Kent,Warwick (RR name Apponaug)
44,3,11,41.73669,-71.43635,WGS84,18,RESIDENTIAL,SUBURBAN,-5,KENTUCKY AVE. AT WARWICK FIRE STATION #8,,Rhode Island,Kent,Warwick (RR name Apponaug)
44,3,12,41.737969,-71.41441,WGS84,15,RESIDENTIAL,SUBURBAN,-5,LYDICK AVE. AT WEST END NEAR AIRPORT,,Rhode Island,Kent,Warwick (RR name Apponaug)
44,3,13,41.7055,-71.37752,WGS84,14,RESIDENTIAL,SUBURBAN,-5,ACROSS FROM GORTON SCHOOL AT 69 DRAPER AVE.,,Rhode Island,Kent,Warwick (RR name Apponaug)
44,3,14,41.70549,-71.44176,WGS84,14,RESIDENTIAL,SUBURBAN,-5,SMITH ST. AND GERTRUDE AVE.,,Rhode Island,Kent,Warwick (RR name Apponaug)
44,3,15,41.715811,-71.43755,WGS84,16,RESIDENTIAL,SUBURBAN,-5,136 FIELD VIEW DR.,,Rhode Island,Kent,Warwick (RR name Apponaug)
44,3,16,41.71884,-71.3764,WGS84,32,RESIDENTIAL,SUBURBAN,-5,"GORTON SCHOOL, 69 DRAPER AVE., WARWICK, RI",,Rhode Island,Kent,Warwick (RR name Apponaug)
44,3,1002,41.732479,-71.424757,WGS84,2,COMMERCIAL,SUBURBAN,-5,U. S. WEATHER BUREAU,2886,Rhode Island,Kent,Warwick (RR name Apponaug)
44,5,1,41.496925,-71.369201,WGS84,9,RESIDENTIAL,SUBURBAN,-5,STATE MAINT. GARAGE,2835,Rhode Island,Newport,Not in a City
44,5,1001,41.529981,-71.28642,WGS84,47,RESIDENTIAL,SUBURBAN,-5,MIDDLETOWN STATE AIRPORT,2842,Rhode Island,Newport,Newport East
44,5,2001,41.490658,-71.312551,WGS84,24,COMMERCIAL,SUBURBAN,-5,NEWPORT CITY HALL,,Rhode Island,Newport,Newport
44,5,4001,41.664979,-71.187804,WGS84,76,RESIDENTIAL,SUBURBAN,-5,TIVERTON POLICE DEPARTMENT,2878,Rhode Island,Newport,Tiverton
44,7,1,41.968311,-71.662817,WGS84,113,RESIDENTIAL,SUBURBAN,-5,BURRILLVILLE HIGH SCHOOL,2830,Rhode Island,Providence,Not in a City
44,7,2,41.778035,-71.401144,WGS84,29,COMMERCIAL,URBAN AND CENTER CITY,-5,CRANSTON OSTEOPATHIC HOSPITAL,2905,Rhode Island,Providence,Cranston
44,7,3,41.7826,-71.472282,WGS84,43,COMMERCIAL,URBAN AND CENTER CITY,-5,CRANSTON FIRE DEPT.,,Rhode Island,Providence,Cranston
